k,alg,time,mem
1,basic,1.523,778240
3,basic,1.266,823296
4,basic,1.688,823296
5,basic,2.906,880640
6,basic,4.084,974848
6,basic,6.829,1.24518*10^6
7,basic,11.754,1.60973*10^6
7,basic,17.981,2.1463*10^6
7,basic,28.244,2.78938*10^6
8,basic,40.523,3.5881*10^6
8,basic,69.781,5.60742*10^6
8,basic,106.092,8.07731*10^6
9,basic,154.958,1.11247*10^7
8,basic,205.714,1.47005*10^7
6,basic,271.369,1.71622*10^7
1,efficient,0.958,815104
3,efficient,1.01,851968
4,efficient,2.167,815104
5,efficient,3.887,872448
6,efficient,8.405,831488
6,efficient,15.224,892928
7,efficient,28.58,1.17555*10^6
7,efficient,47.025,913408
7,efficient,73.018,1.04038*10^6
8,efficient,96.417,966656
8,efficient,173.404,1.04858*10^6
8,efficient,268.733,1.39264*10^6
9,efficient,367.233,1.16362*10^6
8,efficient,519.394,1.29843*10^6
6,efficient,682.65,1.34349*10^6